Domain,Location on Site,Software,Members,Posts,Threads,Forum Detected
gamedog.se,gamedog.se,XMB,0,0,0,No
grandbro.date,grandbro.date,XMB,0,0,0,No
postcrossing.com,forum.postcrossing.com,XMB,28648,510195,8331,Yes
xmbforum2.com,forums.xmbforum2.com,XMB,63,36,12,Yes
xmbforum2.com,alpha.xmbforum2.com,XMB,0,0,0,No
xmbforum2.com,alt.xmbforum2.com,XMB,0,0,0,No
ytjt.org,forum.ytjt.org,XMB,49,50,12,Yes
akeet.com,akeet.com,XMB,27,1022,480,Yes
alfapower.nu,alfapower.nu,XMB,-1,-1,-1,Yes
auroraservers.xyz,auroraservers.xyz,XMB,66,33,12,Yes
e-padi.com,forum.e-padi.com,XMB,135,19,6,Yes
e-padi.com,mail.forum.e-padi.com,XMB,0,0,0,No
maschinengeist.org,forum.maschinengeist.org,XMB,31,68,13,Yes
mrafrica.us,mrafrica.us,XMB,-1,-1,-1,Yes
my3cx.it,monoinformatica3cx.my3cx.it,XMB,-1,-1,-1,Yes
mysmall.horse,mysmall.horse,XMB,95,4,13,Yes
101xp.com,forums.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-ru.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-en.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-icarus.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-loa3.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-mstar.101xp.com,Xenforo,0,0,0,No
101xp.com,forum-eol.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-snm.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-tr.101xp.com,Xenforo,-1,-1,-1,Yes
101xp.com,forum-jd.101xp.com,Xenforo,-1,-1,-1,Yes
1911forum.com,1911forum.com,Xenforo,-1,-1,-1,Yes
1doi1.com,1doi1.com,Xenforo,-1,-1,-1,Yes
28dayslater.co.uk,28dayslater.co.uk,Xenforo,86139,261135,42420,Yes
2banh.vn,2banh.vn,Xenforo,-1,-1,-1,Yes
4game.com,forum.br.4game.com,Xenforo,-1,-1,-1,Yes
4game.com,forum.la.4game.com,Xenforo,-1,-1,-1,Yes
4gameforum.com,4gameforum.com,Xenforo,-1,-1,-1,Yes
4j.com,forum.4j.com,Xenforo,-1,-1,-1,Yes
4runners.com,4runners.com,Xenforo,-1,-1,-1,Yes
bazicenter.com,bazicenter.com,Xenforo,-1,-1,-1,Yes
bcdb.com,forums.bcdb.com,Xenforo,-1,-1,-1,Yes
beeradvocate.com,beeradvocate.com,Xenforo,-1,-1,-1,Yes
beesource.com,beesource.com,Xenforo,-1,-1,-1,Yes
benzworld.org,benzworld.org,Xenforo,-1,-1,-1,Yes
bettafish.com,bettafish.com,Xenforo,-1,-1,-1,Yes
beyondunreal.com,forums.beyondunreal.com,Xenforo,-1,-1,-1,Yes
bgol.us,bgol.us,Xenforo,-1,-1,-1,Yes
bigsoccer.com,bigsoccer.com,Xenforo,-1,-1,-1,Yes
bikemag.com,ridemonkey.bikemag.com,Xenforo,19144,3376,165074,Yes
bimmerfest.com,bimmerfest.com,Xenforo,-1,-1,-1,Yes
bit-tech.net,forums.bit-tech.net,Xenforo,0,0,0,No
bitverzo.com,ruanabol.chat.bitverzo.com,Xenforo,-1,-1,-1,Yes
bmwclub.ru,bmwclub.ru,Xenforo,0,0,0,No
bmwfaq.org,bmwfaq.org,Xenforo,-1,-1,-1,Yes
boat-lifestyle.com,community.boat-lifestyle.com,Xenforo,-1,-1,-1,Yes
boatdesign.net,boatdesign.net,Xenforo,0,0,0,No
bowhunting.com,forums.bowhunting.com,Xenforo,0,0,0,No
boxingforum24.com,boxingforum24.com,Xenforo,-1,-1,-1,Yes
brivium.com,brivium.com,Xenforo,-1,-1,-1,Yes
bukkit.org,bukkit.org,Xenforo,-1,-1,-1,Yes
burbuja.info,burbuja.info,Xenforo,-1,-1,-1,Yes
bushcraftusa.com,bushcraftusa.com,Xenforo,85612,6036,315256,Yes
byggahus.se,byggahus.se,Xenforo,0,0,0,No
cadillacforums.com,cadillacforums.com,Xenforo,-1,-1,-1,Yes
camaros.net,camaros.net,Xenforo,-1,-1,-1,Yes
canadiancontent.net,forums.canadiancontent.net,Xenforo,82195,2294,122378,Yes
cannahome-darknet-drugstore.com,cannahome-darknet-drugstore.com,Xenforo,-1,-1,-1,Yes
caraudio.com,caraudio.com,Xenforo,141352,8512,590708,Yes
cardschat.com,forum.cardschat.com,Xenforo,-1,-1,-1,Yes
carm.org,forums.carm.org,Xenforo,1020,957705,12557,Yes
cdprojektred.com,forums.cdprojektred.com,Xenforo,0,0,0,No
challengertalk.com,challengertalk.com,Xenforo,-1,-1,-1,Yes
chandoo.org,chandoo.org,Xenforo,-1,-1,-1,Yes
chandoo.org,forum.chandoo.org,Xenforo,76853,283384,45480,Yes
chandoo.org,forums.chandoo.org,Xenforo,0,0,0,No
cheftalk.com,cheftalk.com,Xenforo,-1,-1,-1,Yes
chevelles.com,chevelles.com,Xenforo,-1,-1,-1,Yes
chipdip.ru,forum.chipdip.ru,Xenforo,0,0,0,No
chorus.fm,forum.chorus.fm,Xenforo,-1,-1,-1,Yes
christianforums.com,christianforums.com,Xenforo,270271,64236,5811,Yes
chyoa.com,forum.chyoa.com,Xenforo,-1,-1,-1,Yes
civfanatics.com,forums.civfanatics.com,Xenforo,302274,16047,599974,Yes
clubbingbuy.com,clubbingbuy.com,Xenforo,-1,-1,-1,Yes
clubfrontier.org,clubfrontier.org,Xenforo,-1,-1,-1,Yes
clutchfans.net,bbs.clutchfans.net,Xenforo,-1,-1,-1,Yes
cointalk.com,cointalk.com,Xenforo,0,0,0,No
coloradofans.com,coloradofans.com,Xenforo,-1,-1,-1,Yes
comunidadhosting.com,comunidadhosting.com,Xenforo,-1,-1,-1,Yes
contractortalk.com,contractortalk.com,Xenforo,-1,-1,-1,Yes
corral.net,corral.net,Xenforo,-1,-1,-1,Yes
cowboyszone.com,cowboyszone.com,Xenforo,-1,-1,-1,Yes
cricketweb.net,cricketweb.net,Xenforo,-1,-1,-1,Yes
crnobelo.com,forum.crnobelo.com,Xenforo,6705,352464,4968,Yes
cruzetalk.com,cruzetalk.com,Xenforo,-1,-1,-1,Yes
crvownersclub.com,crvownersclub.com,Xenforo,-1,-1,-1,Yes
cumminsforum.com,cumminsforum.com,Xenforo,-1,-1,-1,Yes
cutestat.com,kinoexpert.ru.cutestat.com,Xenforo,-1,-1,-1,Yes
cyberleaks.to,cyberleaks.to,Xenforo,-1,-1,-1,Yes
cyclingforums.com,cyclingforums.com,Xenforo,239814,3819,447462,Yes
kaffee-netz.de,kaffee-netz.de,Xenforo,-1,-1,-1,Yes
kajgana.com,forum.kajgana.com,Xenforo,81,9,69,Yes
kanoapps.com,forums.kanoapps.com,Xenforo,-1,-1,-1,Yes
kanoplay.com,forums-archive.kanoplay.com,Xenforo,-1,-1,-1,Yes
kanyetothe.com,kanyetothe.com,Xenforo,-1,-1,-1,Yes
kaptur.club,kaptur.club,Xenforo,-1,-1,-1,Yes
keenswh.com,forums.keenswh.com,Xenforo,0,0,0,No
keenswh.com,forum.keenswh.com,Xenforo,-1,-1,-1,Yes
kinhtexaydung.net,kinhtexaydung.net,Xenforo,-1,-1,-1,Yes
kitty-kats.net,kitty-kats.net,Xenforo,-1,-1,-1,Yes
nawcc.org,mb.nawcc.org,Xenforo,53824,1563,178258,Yes
nc2alawyers.org,nc2alawyers.org,Xenforo,-1,-1,-1,Yes
neosmart.net,neosmart.net,Xenforo,-1,-1,-1,Yes
nevsedoma.com.ua,tracker.nevsedoma.com.ua,Xenforo,-1,-1,-1,Yes
newtek.com,forums.newtek.com,Xenforo,92669,1612,160019,Yes
nexopia.com,nexopia.com,Xenforo,0,0,0,No
nfoservers.com,xe.site.nfoservers.com,Xenforo,-1,-1,-1,Yes
ngemu.com,ngemu.com,Xenforo,-1,-1,-1,Yes
nhattao.com,nhattao.com,Xenforo,-1,-1,-1,Yes
nissanclub.com,nissanclub.com,Xenforo,-1,-1,-1,Yes
nma-fallout.com,nma-fallout.com,Xenforo,-1,-1,-1,Yes
nofap.com,nofap.com,Xenforo,-1,-1,-1,Yes
nopixel.net,nopixel.net,Xenforo,0,0,0,No
odyclub.com,odyclub.com,Xenforo,-1,-1,-1,Yes
off-road.com,forums.off-road.com,Xenforo,-1,-1,-1,Yes
officialpsds.com,officialpsds.com,Xenforo,-1,-1,-1,Yes
old-games.ru,old-games.ru,Xenforo,-1,-1,-1,Yes
omegaforums.net,omegaforums.net,Xenforo,-1,-1,-1,Yes
oneplus.com,forums.oneplus.com,Xenforo,-1,-1,-1,Yes
online-knigi.com,forum.online-knigi.com,Xenforo,1,1,1,Yes
opelforum.ru,opelforum.ru,Xenforo,-1,-1,-1,Yes
openbuilds.com,openbuilds.com,Xenforo,-1,-1,-1,Yes
openos.org,openos.org,Xenforo,-1,-1,-1,Yes
orthodoxchristianity.net,forums.orthodoxchristianity.net,Xenforo,12576,1636,72026,Yes
overclock.net,overclock.net,Xenforo,-1,-1,-1,Yes
overclockers.com.au,forums.overclockers.com.au,Xenforo,-1,-1,-1,Yes
t-shirtforums.com,t-shirtforums.com,Xenforo,-1,-1,-1,Yes
tacomaworld.com,tacomaworld.com,Xenforo,-1,-1,-1,Yes
talkaboutmarriage.com,talkaboutmarriage.com,Xenforo,-1,-1,-1,Yes
talkbass.com,talkbass.com,Xenforo,-1,-1,-1,Yes
talkclassical.com,talkclassical.com,Xenforo,-1,-1,-1,Yes
tapuz.co.il,tapuz.co.il,Xenforo,-1,-1,-1,Yes
taxidermy.net,taxidermy.net,Xenforo,-1,-1,-1,Yes
tdiclub.com,forums.tdiclub.com,Xenforo,140990,5636,505831,Yes
tdiclub.com,pics.tdiclub.com,Xenforo,0,0,0,No
techarp.com,forums.techarp.com,Xenforo,-1,-1,-1,Yes
techarp.com,archive.techarp.com,Xenforo,-1,-1,-1,Yes
